merchant_id,domain,feed_url,feed_type,item_count,validated_at,last_http_status,sample_item_url,sample_item_title,validation_error
0043a2b7-d4ca-5261-91e4-5d248e2e9925a347dcd6,2wjxr0-1y.myshopify.com,https://2wjxr0-1y.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.599083+00:00,200,https://tienda.latinastereo.com/products/camiseta-40-anos,Camiseta 40 años,
0042bc4e-8add-5155-b199-7757cbc266297a95bf4d,bts-decor.myshopify.com,https://bts-decor.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:02.608373+00:00,200,https://bytheseadecor.com/products/whale-engraved-glassware,Whale Etched Wine Glass Boxed Set,
00536a-11.myshopify.com,00536a-11.myshopify.com,https://00536a-11.myshopify.com/collections/all.atom,atom,5,2026-08-28T16:46:02.666547+00:00,200,https://celestialbeautystudios.com/products/removal-training,Removal Training,
005e6b97-0a33-5990-b0f2-e6d899d68f1c874c0dab,oudarabiadubai.com,https://oudarabiadubai.com/collections/all.atom,atom,25,2026-08-28T16:46:02.720696+00:00,200,https://oudarabiadubai.com/products/dakhoon-100ml,Dakhoon (100ml),
00501cc4-7178-5830-b46c-e88300919ebf739d60af,ba7647-ce.myshopify.com,https://ba7647-ce.myshopify.com/collections/all.atom,atom,13,2026-08-28T16:46:02.843734+00:00,200,https://aahfstore.myshopify.com/products/2026_09_12-13-show-me-state-air-show-jefferson-city-mo-huey-lhfe,"2026_09_12 & 13 ~ Show Me State Air Show, Jefferson City, MO ~ Huey LHFE",
004e18f4-1911-5712-b909-7f056a9f44f057804f94,leipzigbeatzz.myshopify.com,https://leipzigbeatzz.myshopify.com/collections/all.atom,atom,1,2026-08-28T16:46:02.884037+00:00,200,https://leipzigbeatzz.myshopify.com/products/beatzz-vodka,BEATZZ VODKA,
0043e999-49f3-5c50-98d0-8f39a9946c9bc14de6a0,04d97e-2.myshopify.com,https://04d97e-2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.097238+00:00,200,https://www.lojaseletropolo.com.br/products/ducha-sublime-eletronica-4000w-220v-blindada-branca-zagonel,Ducha Sublime Eletrônica 4000W 220V Blindada Branca - Zagonel,
00568e.myshopify.com,00568e.myshopify.com,https://00568e.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.155438+00:00,200,https://eddymcmanus.myshopify.com/products/galactic-mushroom-12-by-eddy-mcmanus,Galactic Mushroom Portal Shirt #11,
005f12ee-0990-595f-9939-42c955b32b413a5b9d8d,savagesupply.co,https://savagesupply.co/collections/all.atom,atom,25,2026-08-28T16:46:03.240620+00:00,200,https://www.savagesupply.co/products/scoobys-set-break-ls-tee-hemp,Scooby's Set Break Tee - Hemp,
00593122-6824-51a9-8089-7ffd5690af30ed3653b5,breakinatoms.myshopify.com,https://breakinatoms.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.275250+00:00,200,https://www.breakinatoms.com/products/ispod-1785968647136,Titanium Steel Necklace,
005d0944-be13-5e29-b396-3da436c5f92c9eca4646,7a04c5-82.myshopify.com,https://7a04c5-82.myshopify.com/collections/all.atom,atom,4,2026-08-28T16:46:03.281614+00:00,200,https://7a04c5-82.myshopify.com/products/adventure-pack-fired-up-fire-starter-mylar-bag-3-4-fires,Adventure Pack Fired Up Fire Starter Mylar Bag (3-4 fires),
0036f192-c585-5084-82b2-dae99c0bd3dab6c7177f,allum-and-sidaway-bridal.myshopify.com,https://allum-and-sidaway-bridal.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.291387+00:00,200,https://www.allumandsidawaybridal.co.uk/products/holland-park,Holland Park,
0044d08d-a481-5002-aa30-46fac65f0f1a3f057ede,ca030e-73.myshopify.com,https://ca030e-73.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.431205+00:00,200,https://godblessdress.shop/products/marivelle-lace-detail-blouse,Marivelle Lace Detail Blouse,
006c991c-86f2-55aa-8660-54fcae0a7009bb9ee425,ramalacollections.com,https://ramalacollections.com/collections/all.atom,atom,25,2026-08-28T16:46:03.463897+00:00,200,https://ramalacollections.com/products/92-5-silver-with-gold-polish-bangle-top-rch1331,92.5 Silver with gold polish Bangle top- RCH1331,
003e6f22-b071-5d7a-8294-640be847e38e16ebd1e4,the-pepper-quest.myshopify.com,https://the-pepper-quest.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.521747+00:00,200,https://www.thepepperquest.com/products/starting-mexico,Starting - Mexico,
003b6c39-01ef-5f1b-9446-563c0558fd04f659fd56,orkney-storehouse.myshopify.com,https://orkney-storehouse.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.604789+00:00,200,https://orkneystorehouse.com/products/waxwing-homeware-gift-set,Waxwing Homeware Set,
005da440-f4a9-5cfc-b67d-78e61147f90235b31824,siglafurniture.myshopify.com,https://siglafurniture.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.692007+00:00,200,https://shop.siglafurniture.com/products/versailles-acanthus-set,Versailles Acanthus Set,
0039society.com,0039society.com,https://0039society.com/collections/all.atom,atom,25,2026-08-28T16:46:03.847127+00:00,200,https://www.0039society.com/products/celine-sonnenbrille-kopie,Moncler Windbreaker 2,
004d2e1d-738c-5a09-b590-e8892c42cadc7f202cc4,vena.com.tr,https://vena.com.tr/collections/all.atom,atom,25,2026-08-28T16:46:03.865674+00:00,200,https://vena.com.tr/products/kadin-yakasi-burgu-detayli-viskon-bluz-siyah,Kadın Yakası Burgu Detaylı Viskon Bluz-Siyah,
004816c1-b1d1-511b-af6a-916419861c600dcdfe6b,tfhd10-qz.myshopify.com,https://tfhd10-qz.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:03.891023+00:00,200,https://algenmarkt.de/products/raw-spirit-power-drink,ROHKOLA ALBA,
0067d714-817d-5cde-8123-51aeeafb22519130b220,giftool-online.myshopify.com,https://giftool-online.myshopify.com/collections/all.atom,atom,21,2026-08-28T16:46:03.941897+00:00,200,https://giftool-online.myshopify.com/products/xmas-m-2025,ギフトゥール【宝箱】クリスマス Mサイズ【2025年版】,
